entity_id;state;last_updated
sensor.sm_g960f_battery_level;80;2023-01-16 07:47:00.067086
sensor.sm_g960f_battery_temperature;22.1;2023-01-16 07:47:00.068202
sensor.sm_g960f_battery_power;0.0;2023-01-16 07:47:00.069079
device_tracker.sm_g960f;not_home;2023-01-16 07:55:38.072506
device_tracker.sm_g960f;not_home;2023-01-16 07:57:02.785263
device_tracker.sm_g960f;not_home;2023-01-16 07:57:12.164225
sensor.sm_g960f_battery_level;78;2023-01-16 08:02:02.010000
sensor.sm_g960f_battery_power;0.0;2023-01-16 08:02:02.011095
sensor.sm_g960f_battery_level;77;2023-01-16 08:07:23.921310
sensor.sm_g960f_battery_temperature;21.9;2023-01-16 08:07:23.922375
sensor.sm_g960f_battery_power;0.0;2023-01-16 08:07:23.923248
device_tracker.sm_g960f;IPCA;2023-01-16 08:47:52.574040
sensor.sm_g960f_battery_level;74;2023-01-16 08:47:56.738882
sensor.sm_g960f_battery_temperature;21.2;2023-01-16 08:47:56.842498
sensor.sm_g960f_battery_power;0.0;2023-01-16 08:47:56.929236
sensor.sm_g960f_wifi_connection;eduroam;2023-01-16 08:47:57.655875
sensor.sm_g960f_geocoded_location;Tv. do Carregal 439, 4750-810, Portugal;2023-01-16 08:47:59.622201
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:02.258506
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:08.070633
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:23.635946
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:34.413326
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:44.352510
device_tracker.sm_g960f;IPCA;2023-01-16 08:48:54.396074
device_tracker.sm_g960f;IPCA;2023-01-16 08:49:04.466576
device_tracker.sm_g960f;IPCA;2023-01-16 11:36:14.151821
sensor.sm_g960f_battery_level;64;2023-01-16 11:36:14.353115
sensor.sm_g960f_battery_temperature;25.0;2023-01-16 11:36:14.443704
sensor.sm_g960f_battery_power;0.0;2023-01-16 11:36:14.513244
device_tracker.sm_g960f;IPCA;2023-01-16 11:36:26.702081
device_tracker.sm_g960f;IPCA;2023-01-16 11:36:36.631464
device_tracker.sm_g960f;IPCA;2023-01-16 11:36:46.681974
sensor.sm_g960f_battery_power;0.0;2023-01-16 11:40:05.280929
sensor.sm_g960f_battery_level;63;2023-01-16 11:48:25.290729
sensor.sm_g960f_battery_temperature;23.9;2023-01-16 11:48:25.291755
sensor.sm_g960f_battery_power;0.0;2023-01-16 11:48:25.292624
device_tracker.sm_g960f;IPCA;2023-01-16 13:16:20.075884
sensor.sm_g960f_battery_level;56;2023-01-16 13:16:29.420402
sensor.sm_g960f_battery_temperature;24.0;2023-01-16 13:16:29.546166
sensor.sm_g960f_battery_power;0.0;2023-01-16 13:16:29.645082
device_tracker.sm_g960f;IPCA;2023-01-16 13:28:58.881857
device_tracker.sm_g960f;IPCA;2023-01-16 13:29:08.589218
device_tracker.sm_g960f;IPCA;2023-01-16 13:29:19.033800
device_tracker.sm_g960f;IPCA;2023-01-16 13:29:28.966897
sensor.sm_g960f_battery_level;52;2023-01-16 13:40:05.151735
sensor.sm_g960f_battery_temperature;23.9;2023-01-16 13:40:05.246363
sensor.sm_g960f_battery_power;0.0;2023-01-16 13:40:05.323817
sensor.sm_g960f_battery_power;0.0;2023-01-16 13:43:53.798463
sensor.sm_g960f_battery_temperature;23.7;2023-01-16 13:56:12.678119
sensor.sm_g960f_battery_power;0.0;2023-01-16 13:56:12.679157
sensor.sm_g960f_battery_power;0.0;2023-01-16 13:58:56.086156
device_tracker.sm_g960f;IPCA;2023-01-16 14:05:43.884834
sensor.sm_g960f_battery_level;50;2023-01-16 14:05:57.971461
sensor.sm_g960f_battery_temperature;24.0;2023-01-16 14:05:58.213871
sensor.sm_g960f_battery_power;0.0;2023-01-16 14:05:58.586589
sensor.sm_g960f_battery_level;46;2023-01-16 14:48:16.565577
sensor.sm_g960f_battery_temperature;24.7;2023-01-16 14:48:16.653593
sensor.sm_g960f_battery_power;0.0;2023-01-16 14:48:16.722571
device_tracker.sm_g960f;IPCA;2023-01-16 14:48:17.443010
device_tracker.sm_g960f;IPCA;2023-01-16 14:48:28.983243
device_tracker.sm_g960f;IPCA;2023-01-16 14:48:39.363193
device_tracker.sm_g960f;IPCA;2023-01-16 14:48:49.393495
device_tracker.sm_g960f;IPCA;2023-01-16 14:48:59.683661
sensor.sm_g960f_battery_temperature;24.6;2023-01-16 14:52:57.140335
sensor.sm_g960f_battery_power;0.0;2023-01-16 14:52:57.141342
sensor.sm_g960f_battery_power;0.0;2023-01-16 14:53:43.218806
sensor.sm_g960f_battery_temperature;23.7;2023-01-16 17:03:58.317573
sensor.sm_g960f_battery_power;0.0;2023-01-16 17:03:58.402367
sensor.sm_g960f_wifi_connection;<not connected>;2023-01-16 17:03:59.178409
sensor.sm_g960f_battery_level;37;2023-01-16 17:03:59.732581
sensor.sm_g960f_battery_temperature;24.2;2023-01-16 17:04:00.381731
sensor.sm_g960f_battery_power;0.0;2023-01-16 17:04:00.382618
device_tracker.sm_g960f;IPCA;2023-01-16 17:04:48.869059
device_tracker.sm_g960f;IPCA;2023-01-16 17:04:55.128397
device_tracker.sm_g960f;IPCA;2023-01-16 17:05:02.149722
device_tracker.sm_g960f;IPCA;2023-01-16 17:06:04.388368
