entity_id,state,last_updated
device_tracker.sm_a336b,Cate Home,2023-01-27 02:02:04.461349
sensor.sm_a336b_app_memory,0.023,2023-01-27 02:02:04.687275
sensor.sm_a336b_battery_temperature,19.9,2023-01-27 02:02:04.689371
sensor.sm_a336b_battery_power,0.0,2023-01-27 02:02:04.693433
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 02:02:04.695438
device_tracker.sm_a336b,Cate Home,2023-01-27 02:32:05.983736
sensor.sm_a336b_app_rx_gb,0.0512,2023-01-27 02:32:06.240845
sensor.sm_a336b_app_memory,0.026,2023-01-27 02:32:06.242808
sensor.sm_a336b_battery_temperature,18.8,2023-01-27 02:32:06.247278
sensor.sm_a336b_battery_power,0.0,2023-01-27 02:32:06.249193
sensor.sm_a336b_app_memory,0.029,2023-01-27 02:42:05.912255
sensor.sm_a336b_battery_power,0.0,2023-01-27 02:42:05.914323
sensor.sm_a336b_last_update_trigger,android.os.action.DEVICE_IDLE_MODE_CHANGED,2023-01-27 02:42:05.920614
binary_sensor.sm_a336b_doze_mode,off,2023-01-27 02:42:05.922580
sensor.sm_a336b_total_rx_gb,44.208,2023-01-27 02:42:05.924338
sensor.sm_a336b_app_memory,0.031,2023-01-27 02:42:36.550055
sensor.sm_a336b_battery_power,0.0,2023-01-27 02:42:36.552091
sensor.sm_a336b_wifi_signal_strength,-49,2023-01-27 02:42:36.558252
binary_sensor.sm_a336b_doze_mode,on,2023-01-27 02:42:36.560240
sensor.sm_a336b_app_memory,0.032,2023-01-27 02:47:54.375635
sensor.sm_a336b_battery_power,0.0,2023-01-27 02:47:54.377701
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 02:47:54.381705
device_tracker.sm_a336b,Cate Home,2023-01-27 03:02:07.199191
sensor.sm_a336b_app_memory,0.034,2023-01-27 03:02:07.358981
sensor.sm_a336b_battery_power,0.0,2023-01-27 03:02:07.361069
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 03:02:07.365081
sensor.sm_a336b_app_memory,0.036,2023-01-27 03:08:32.742001
sensor.sm_a336b_battery_power,0.0,2023-01-27 03:08:32.744129
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 03:08:32.748171
device_tracker.sm_a336b,Cate Home,2023-01-27 03:32:09.278812
sensor.sm_a336b_app_memory,0.022,2023-01-27 03:32:09.592812
sensor.sm_a336b_battery_level,41,2023-01-27 03:32:09.594819
sensor.sm_a336b_battery_temperature,18.0,2023-01-27 03:32:09.598902
sensor.sm_a336b_battery_power,0.0,2023-01-27 03:32:09.600769
device_tracker.sm_a336b,Cate Home,2023-01-27 03:48:37.630769
sensor.sm_a336b_app_memory,0.025,2023-01-27 03:48:37.777097
sensor.sm_a336b_battery_power,0.0,2023-01-27 03:48:37.783656
sensor.sm_a336b_active_notification_count,3,2023-01-27 03:48:37.785688
sensor.sm_a336b_app_memory,0.027,2023-01-27 04:02:10.732816
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:02:10.734970
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 04:02:10.738958
sensor.sm_a336b_active_notification_count,2,2023-01-27 04:02:10.740789
device_tracker.sm_a336b,Cate Home,2023-01-27 04:12:59.863625
sensor.sm_a336b_app_memory,0.029,2023-01-27 04:13:00.028162
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:13:00.030187
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 04:13:00.034219
device_tracker.sm_a336b,Cate Home,2023-01-27 04:32:12.567495
sensor.sm_a336b_app_memory,0.031,2023-01-27 04:32:12.839921
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:32:12.842053
sensor.sm_a336b_active_notification_count,3,2023-01-27 04:32:12.846054
sensor.sm_a336b_app_rx_gb,0.0513,2023-01-27 04:42:36.854373
sensor.sm_a336b_app_memory,0.034,2023-01-27 04:42:36.857776
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:42:36.859735
sensor.sm_a336b_last_update_trigger,android.os.action.DEVICE_IDLE_MODE_CHANGED,2023-01-27 04:42:36.861542
sensor.sm_a336b_active_notification_count,2,2023-01-27 04:42:36.865520
binary_sensor.sm_a336b_doze_mode,off,2023-01-27 04:42:36.867411
sensor.sm_a336b_app_memory,0.036,2023-01-27 04:43:06.429240
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:43:06.433531
sensor.sm_a336b_wifi_signal_strength,-51,2023-01-27 04:43:06.435495
binary_sensor.sm_a336b_doze_mode,on,2023-01-27 04:43:06.437295
sensor.sm_a336b_total_rx_gb,44.209,2023-01-27 04:43:06.439012
sensor.sm_a336b_total_tx_gb,1.363,2023-01-27 04:43:06.440735
sensor.sm_a336b_app_memory,0.038,2023-01-27 04:47:58.415647
sensor.sm_a336b_battery_power,0.0,2023-01-27 04:47:58.419877
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 04:47:58.421774
device_tracker.sm_a336b,Cate Home,2023-01-27 05:02:13.390410
sensor.sm_a336b_app_memory,0.02,2023-01-27 05:02:13.522355
sensor.sm_a336b_battery_power,0.0,2023-01-27 05:02:13.526651
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 05:02:13.528640
sensor.sm_a336b_app_tx_gb,0.0272,2023-01-27 05:08:23.744210
sensor.sm_a336b_app_memory,0.022,2023-01-27 05:08:23.749383
sensor.sm_a336b_battery_level,40,2023-01-27 05:08:23.751349
sensor.sm_a336b_battery_temperature,17.5,2023-01-27 05:08:23.753226
sensor.sm_a336b_battery_power,0.0,2023-01-27 05:08:23.757128
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 05:08:23.758948
device_tracker.sm_a336b,Cate Home,2023-01-27 05:28:38.559329
sensor.sm_a336b_app_memory,0.024,2023-01-27 05:28:38.792813
sensor.sm_a336b_battery_power,0.0,2023-01-27 05:28:38.794893
sensor.sm_a336b_app_memory,0.026,2023-01-27 05:32:14.955775
sensor.sm_a336b_battery_power,0.0,2023-01-27 05:32:14.957840
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 05:32:14.962546
device_tracker.sm_a336b,Cate Home,2023-01-27 06:02:16.119766
sensor.sm_a336b_app_memory,0.028,2023-01-27 06:02:16.409493
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:02:16.411578
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 06:02:16.416179
device_tracker.sm_a336b,Cate Home,2023-01-27 06:18:37.932808
sensor.sm_a336b_app_memory,0.031,2023-01-27 06:18:38.093176
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:18:38.098637
sensor.sm_a336b_active_notification_count,3,2023-01-27 06:18:38.100693
sensor.sm_a336b_total_rx_gb,44.21,2023-01-27 06:18:38.102617
sensor.sm_a336b_app_memory,0.033,2023-01-27 06:32:17.297940
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:32:17.300072
sensor.sm_a336b_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 06:32:17.301874
sensor.sm_a336b_active_notification_count,2,2023-01-27 06:32:17.305944
sensor.sm_a336b_app_rx_gb,0.0514,2023-01-27 06:34:25.054308
sensor.sm_a336b_app_memory,0.036,2023-01-27 06:34:25.056389
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:34:25.058267
sensor.sm_a336b_last_update_trigger,SensorWorker,2023-01-27 06:34:25.064002
binary_sensor.sm_a336b_interactive,on,2023-01-27 06:34:25.065975
sensor.sm_a336b_app_memory,0.038,2023-01-27 06:34:29.904509
sensor.sm_a336b_battery_power,0.0,2023-01-27 06:34:29.906643
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 06:34:29.910491
binary_sensor.sm_a336b_interactive,off,2023-01-27 06:34:29.912412
sensor.sm_a336b_app_memory,0.021,2023-01-27 06:34:30.749651
sensor.sm_a336b_battery_power,-0.01,2023-01-27 06:34:30.761991
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_ON,2023-01-27 06:34:30.763999
sensor.sm_a336b_wifi_link_speed,390,2023-01-27 06:34:30.765865
binary_sensor.sm_a336b_interactive,on,2023-01-27 06:34:30.767826
sensor.sm_a336b_app_memory,0.022,2023-01-27 06:34:32.859353
binary_sensor.sm_a336b_device_locked,off,2023-01-27 06:34:32.861456
sensor.sm_a336b_last_update_trigger,android.os.action.DEVICE_IDLE_MODE_CHANGED,2023-01-27 06:34:32.865511
binary_sensor.sm_a336b_doze_mode,off,2023-01-27 06:34:32.867415
device_tracker.sm_a336b,Cate Home,2023-01-27 06:34:37.774138
sensor.sm_a336b_app_memory,0.024,2023-01-27 06:34:43.857693
binary_sensor.sm_a336b_device_locked,on,2023-01-27 06:34:43.859896
sensor.sm_a336b_last_update_trigger,android.intent.action.SCREEN_OFF,2023-01-27 06:34:43.861661
binary_sensor.sm_a336b_interactive,off,2023-01-27 06:34:43.865706
device_tracker.sm_a336b,Cate Home,2023-01-27 06:34:57.519859
sensor.sm_a336b_app_memory,0.027,2023-01-27 06:49:51.641761
sensor.sm_a336b_battery_level,39,2023-01-27 06:49:51.643779
sensor.sm_a336b_battery_temperature,17.7,2023-01-27 06:49:51.647927
binary_sensor.sm_a336b_device_locked,off,2023-01-27 06:49:51.649839
