entity_id,state,last_updated
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 03:36:46.367751
device_tracker.cph2371,home,2023-01-27 03:48:12.332562
device_tracker.cph2371,home,2023-01-27 03:49:15.396519
sensor.cph2371_app_memory,0.026,2023-01-27 03:49:16.943446
sensor.cph2371_ble_transmitter,Transmitting,2023-01-27 03:49:16.948999
sensor.cph2371_last_update_trigger,android.net.wifi.WIFI_STATE_CHANGED,2023-01-27 03:49:16.950915
sensor.cph2371_total_rx_gb,0.538,2023-01-27 03:49:16.958279
sensor.cph2371_total_tx_gb,0.03,2023-01-27 03:49:16.960114
device_tracker.cph2371,home,2023-01-27 03:50:54.156689
sensor.cph2371_app_rx_gb,0.0025,2023-01-27 03:50:54.924886
sensor.cph2371_app_memory,0.028,2023-01-27 03:50:54.926809
sensor.cph2371_battery_temperature,20.7,2023-01-27 03:50:54.931418
sensor.cph2371_ble_transmitter,Transmitting,2023-01-27 03:50:54.934730
sensor.cph2371_total_rx_gb,0.598,2023-01-27 03:50:54.944193
sensor.cph2371_app_memory,0.034,2023-01-27 03:51:17.170956
sensor.cph2371_battery_temperature,20.8,2023-01-27 03:51:17.172997
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:51:17.178701
sensor.cph2371_total_rx_gb,0.599,2023-01-27 03:51:17.185995
sensor.cph2371_app_memory,0.011,2023-01-27 03:51:17.588558
sensor.cph2371_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 03:51:17.596366
device_tracker.cph2371,home,2023-01-27 03:51:21.606654
sensor.cph2371_app_memory,0.013,2023-01-27 03:51:48.236735
sensor.cph2371_battery_temperature,21.2,2023-01-27 03:51:48.238762
sensor.cph2371_last_update_trigger,SensorWorker,2023-01-27 03:51:48.244194
sensor.cph2371_total_rx_gb,0.625,2023-01-27 03:51:48.249384
sensor.cph2371_total_tx_gb,0.031,2023-01-27 03:51:48.251097
sensor.cph2371_app_memory,0.015,2023-01-27 03:52:09.243103
sensor.cph2371_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:52:09.249179
sensor.cph2371_total_rx_gb,0.637,2023-01-27 03:52:09.255179
sensor.cph2371_app_memory,0.017,2023-01-27 03:53:47.401716
sensor.cph2371_battery_temperature,22.2,2023-01-27 03:53:47.403756
sensor.cph2371_total_rx_gb,0.812,2023-01-27 03:53:47.414748
sensor.cph2371_total_tx_gb,0.032,2023-01-27 03:53:47.416625
device_tracker.cph2371,home,2023-01-27 03:56:20.473987
sensor.cph2371_app_memory,0.013,2023-01-27 03:56:24.394959
sensor.cph2371_battery_temperature,22.4,2023-01-27 03:56:24.399336
sensor.cph2371_total_rx_gb,0.815,2023-01-27 03:56:24.408093
sensor.cph2371_app_memory,0.015,2023-01-27 04:00:25.005904
sensor.cph2371_battery_temperature,21.7,2023-01-27 04:00:25.009752
