entity_id,state,last_updated
device_tracker.cph2197,home,2023-01-27 02:53:22.279318
sensor.cph2197_app_rx_gb,0.0026,2023-01-27 02:53:22.725579
sensor.cph2197_app_tx_gb,0.0012,2023-01-27 02:53:22.727653
sensor.cph2197_app_memory,0.012,2023-01-27 02:53:22.729507
sensor.cph2197_battery_temperature,18.3,2023-01-27 02:53:22.733310
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 02:53:22.736771
sensor.cph2197_app_memory,0.014,2023-01-27 02:54:22.486173
sensor.cph2197_app_memory,0.016,2023-01-27 02:56:31.820501
sensor.cph2197_total_rx_gb,1.778,2023-01-27 02:56:31.828938
sensor.cph2197_app_memory,0.018,2023-01-27 02:56:32.818532
sensor.cph2197_last_update_trigger,android.net.wifi.STATE_CHANGE,2023-01-27 02:56:32.823908
sensor.cph2197_app_memory,0.014,2023-01-27 02:58:07.598544
sensor.cph2197_battery_power,0.0,2023-01-27 02:58:07.600675
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 02:58:07.602546
sensor.cph2197_app_memory,0.016,2023-01-27 03:00:01.087559
sensor.cph2197_battery_temperature,18.2,2023-01-27 03:00:01.089852
sensor.cph2197_battery_power,0.0,2023-01-27 03:00:01.093481
sensor.cph2197_app_memory,0.017,2023-01-27 03:02:52.853646
sensor.cph2197_app_memory,0.01,2023-01-27 03:03:52.557551
sensor.cph2197_app_memory,0.012,2023-01-27 03:05:37.028063
sensor.cph2197_last_update_trigger,SensorWorker,2023-01-27 03:05:37.035041
sensor.cph2197_total_rx_gb,1.779,2023-01-27 03:05:37.040208
sensor.cph2197_app_memory,0.016,2023-01-27 03:07:37.683344
sensor.cph2197_last_update_trigger,android.intent.action.TIME_TICK,2023-01-27 03:07:37.687242
device_tracker.cph2197,home,2023-01-27 03:10:00.674232
sensor.cph2197_app_memory,0.018,2023-01-27 03:10:01.086983
sensor.cph2197_app_memory,0.013,2023-01-27 03:11:00.970210
sensor.cph2197_app_rx_gb,0.0027,2023-01-27 03:12:27.545944
sensor.cph2197_app_memory,0.016,2023-01-27 03:12:27.548043
sensor.cph2197_app_memory,0.017,2023-01-27 03:13:17.794915
sensor.cph2197_app_memory,0.01,2023-01-27 03:17:12.713144
